"filename", "language", "Markdown", "HTML", "Python", "XML", "Desktop", "TOML", "pip requirements", "JSON", "comment", "blank", "total"
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/src/guiconstants.py", "Python", 0, 0, -14, 0, 0, 0, 0, 0, -29, -14, -57
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/src/support/desktop/__PP_NAME_SMALL__.desktop", "Desktop", 0, 0, 0, 0, 10, 0, 0, 0, 8, 3, 21
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/src/support/desktop/template.desktop", "Desktop", 0, 0, 0, 0, 10, 0, 0, 0, 8, 3, 21
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/src/support/ui/__PP_NAME_SMALL__Gtk3.ui", "XML", 0, 0, 0, 211, 0, 0, 0, 0, 2, 1, 214
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/src/support/ui/dialogs.ui", "XML", 0, 0, 0, 124, 0, 0, 0, 0, 1, 1, 126
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/src/windowmain.py", "Python", 0, 0, 23, 0, 0, 0, 0, 0, -1, 1, 23
"/home/dana/Documents/Projects/Python/PyPlate/template/pkg/src/__PP_NAME_SMALL__/__PP_NAME_MOD__.py", "Python", 0, 0, -39, 0, 0, 0, 0, 0, -42, -34, -115
"/home/dana/Documents/Projects/Python/PyPlate/template/pkg/src/__PP_NAME_SMALL__/__PP_NAME_SEC__.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 33, 25, 86
"/home/dana/Documents/Projects/Python/PyPlate/template/pkg/tests/__PP_NAME_SMALL___test.py", "Python", 0, 0, 11, 0, 0, 0, 0, 0, 43, 20, 74
"/home/dana/Documents/Projects/Python/PyPlate/template/pkg/tests/test_pkg.py", "Python", 0, 0, -10, 0, 0, 0, 0, 0, -39, -20, -69
"Total", "-", 121, 54, 182, 335, 0, 17, -18, -42, 406, 250, 1305
