"filename", "language", "Markdown", "JSON", "Python", "HTML", "pip requirements", "XML", "Desktop", "TOML", "comment", "blank", "total"
"/home/dana/Documents/Projects/Python/PyPlate/README.md", "Markdown", 106, 0, 0, 0, 0, 0, 0, 0, 0, 25, 131
"/home/dana/Documents/Projects/Python/PyPlate/TODO/collect_strings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/dana/Documents/Projects/Python/PyPlate/TODO/guis_debug-gtk4.py", "Python", 0, 0, 67, 0, 0, 0, 0, 0, 57, 48, 172
"/home/dana/Documents/Projects/Python/PyPlate/TODO/unused.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"/home/dana/Documents/Projects/Python/PyPlate/conf/pyplate_conf.py", "Python", 0, 0, 699, 0, 0, 0, 0, 0, 309, 146, 1154
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/cnapp.py", "Python", 0, 0, 152, 0, 0, 0, 0, 0, 116, 80, 348
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/cnwindow.py", "Python", 0, 0, 72, 0, 0, 0, 0, 0, 65, 45, 182
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/dead/cnapp_with_state.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 340, 94, 434
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/dead/cnappfunctions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 106, 34, 140
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/dead/cnwindow_junk.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 347, 100, 447
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/dead/cnwindow_w_state.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 474, 127, 601
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/pyproject.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 23, 10, 6, 39
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnapplib/state.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 21, 2, 31
"/home/dana/Documents/Projects/Python/PyPlate/lib/cninstalllib/cninstall copy.py", "Python", 0, 0, 237, 0, 0, 0, 0, 0, 121, 85, 443
"/home/dana/Documents/Projects/Python/PyPlate/lib/cninstalllib/cninstall.py", "Python", 0, 0, 96, 0, 0, 0, 0, 0, 349, 100, 545
"/home/dana/Documents/Projects/Python/PyPlate/lib/cninstalllib/cnuninstall.py", "Python", 0, 0, 185, 0, 0, 0, 0, 0, 107, 67, 359
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/cncli.py", "Python", 0, 0, 110, 0, 0, 0, 0, 0, 94, 47, 251
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/cnformatter.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 18, 10, 44
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/cnfunctions.py", "Python", 0, 0, 306, 0, 0, 0, 0, 0, 143, 130, 579
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/cnpot.py", "Python", 0, 0, 329, 0, 0, 0, 0, 0, 217, 122, 668
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/cnsphinx.py", "Python", 0, 0, 141, 0, 0, 0, 0, 0, 65, 48, 254
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/cntree.py", "Python", 0, 0, 291, 0, 0, 0, 0, 0, 192, 126, 609
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/cnvenv.py", "Python", 0, 0, 89, 0, 0, 0, 0, 0, 51, 32, 172
"/home/dana/Documents/Projects/Python/PyPlate/lib/cnlib/pyproject.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 23, 10, 6, 39
"/home/dana/Documents/Projects/Python/PyPlate/misc/checklist.html", "HTML", 0, 0, 0, 27, 0, 0, 0, 0, 12, 8, 47
"/home/dana/Documents/Projects/Python/PyPlate/misc/cnlibs.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 12, 10, 36
"/home/dana/Documents/Projects/Python/PyPlate/misc/default_class.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 47, 29, 114
"/home/dana/Documents/Projects/Python/PyPlate/misc/default_mod.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 32, 25, 85
"/home/dana/Documents/Projects/Python/PyPlate/pyplate/private/private.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 39
"/home/dana/Documents/Projects/Python/PyPlate/pyplate/private/pybaker.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 34, 13, 63
"/home/dana/Documents/Projects/Python/PyPlate/pyplate/project.json", "JSON", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 80
"/home/dana/Documents/Projects/Python/PyPlate/pyproject.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 32, 10, 5, 47
"/home/dana/Documents/Projects/Python/PyPlate/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/dana/Documents/Projects/Python/PyPlate/src/pybaker.py", "Python", 0, 0, 534, 0, 0, 0, 0, 0, 363, 254, 1151
"/home/dana/Documents/Projects/Python/PyPlate/src/pymaker.py", "Python", 0, 0, 673, 0, 0, 0, 0, 0, 395, 306, 1374
"/home/dana/Documents/Projects/Python/PyPlate/template/all/README.md", "Markdown", 79, 0, 0, 0, 0, 0, 0, 0, 0, 15, 94
"/home/dana/Documents/Projects/Python/PyPlate/template/all/install/install.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/home/dana/Documents/Projects/Python/PyPlate/template/all/install/install.py", "Python", 0, 0, 25, 0, 0, 0, 0, 0, 50, 17, 92
"/home/dana/Documents/Projects/Python/PyPlate/template/all/install/uninstall.py", "Python", 0, 0, 24, 0, 0, 0, 0, 0, 33, 16, 73
"/home/dana/Documents/Projects/Python/PyPlate/template/all/misc/checklist.html", "HTML", 0, 0, 0, 27, 0, 0, 0, 0, 12, 8, 47
"/home/dana/Documents/Projects/Python/PyPlate/template/all/pyplate/private/pybaker.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 34, 13, 63
"/home/dana/Documents/Projects/Python/PyPlate/template/all/pyproject.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 21, 10, 5, 36
"/home/dana/Documents/Projects/Python/PyPlate/template/all/requirements.txt", "pip requirements", 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/conf/desktop/template.desktop", "Desktop", 0, 0, 0, 0, 0, 0, 10, 0, 8, 3, 21
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/conf/python/appmain.py", "Python", 0, 0, 49, 0, 0, 0, 0, 0, 40, 25, 114
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/conf/python/windowmain.py", "Python", 0, 0, 102, 0, 0, 0, 0, 0, 64, 51, 217
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/conf/ui/__PP_NAME_SMALL__Gtk3.ui", "XML", 0, 0, 0, 0, 0, 211, 0, 0, 2, 1, 214
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/conf/ui/dialogs.ui", "XML", 0, 0, 0, 0, 0, 124, 0, 0, 1, 1, 126
"/home/dana/Documents/Projects/Python/PyPlate/template/gui/requirements.txt", "pip requirements", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/home/dana/Documents/Projects/Python/PyPlate/template/pkg/src/__PP_NAME_SMALL__/__PP_NAME_SEC__.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 33, 25, 86
